Date,total_kwh_per_day,Temp_max,Hum_max,Wind_avg,Precipit
10/7/2019,40.361,97,90,3.2,0
7/27/2017,19.411,97,90,5.5,0
6/8/2016,55.993,97,90,5.8,0
8/7/2016,43.316,97,90,7.9,0
6/8/2019,39.898,97,90,5.4,0
8/16/2019,40.477,97,90,6.2,0
7/23/2016,62.589,98,90,5.5,0
6/9/2019,39.23,98,90,5.1,0
7/28/2017,22.399,98,90,6,0
8/18/2017,37.583,98,90,5.8,0
5/9/2019,37.948,99,90,3.9,0
10/8/2019,26.654,100,90,5.9,0
7/8/2016,61.38,100,90,5.2,0
8/14/2019,44.204,101,90,6.7,0
9/2/2020,9.902,73,91,11.9,0
3/24/2017,12.472,79,91,15.7,0
7/3/2017,10.888,80,91,9,0.24
5/3/2018,14.073,80,91,8.4,0.02
2/19/2018,11.799,80,91,14.9,0
12/17/2016,12.054,81,91,11.5,0.11
7/10/2019,19.832,82,91,10.7,0
3/27/2017,19.489,86,91,8.1,0
6/26/2020,24.384,86,91,6.2,0.39
5/13/2020,22.825,86,91,10.8,0
4/10/2017,29.84,88,91,9.2,2.12
3/25/2020,17.231,89,91,7.2,0
6/21/2017,23.263,89,91,15.7,0
7/28/2019,39.941,90,91,7.6,0
6/26/2017,21.789,90,91,8.3,0.21
4/5/2020,22.112,90,91,7.8,0
5/20/2017,44.704,90,91,8.3,0.01
7/10/2017,24.51,90,91,4.3,0
6/19/2016,47.559,90,91,5.8,0
9/14/2016,40.039,91,91,7.8,0.1
4/10/2019,23.849,92,91,4.4,0.02
5/19/2018,40.785,92,91,12.4,0
7/7/2020,38.483,93,91,6.1,0
6/22/2019,32.657,93,91,12.1,0
